size,simple_lomuto,simple_hoare,simple_hafner,julia_hoare,julia_mergesort,julia_hafner,optimized_hafner,theoretical_minimum
10,29.573041,29.566622,29.570178,29.57346,29.571272,29.565754,29.568676,21.791061114716953
23,107.8600195040273,108.81115593561832,113.20564098789738,108.8550054970077,98.52806003928406,113.16798993518591,104.49996319994848,74.4526949183793
55,344.4107899107899,347.5528440528441,354.97831897831895,347.41293491293493,321.9196779196779,354.9108009108009,328.05904255904255,242.84517079395408
127,967.9290068580137,976.6672720345441,1018.9817881635763,976.9307086614173,939.9401320802641,1019.2852425704851,929.5621793243587,709.1617220836218
298,2695.8744524242334,2717.4293292010607,2885.4968262955567,2716.5152427213397,2718.652620913669,2883.7329916261883,2603.352772893882,2024.8248326758394
695,7284.318737837087,7334.699263274952,7883.057686961357,7335.64373088685,6611.781415068112,7890.695649152071,7067.361620795107,5564.777373705271
1624,19368.930323209355,19492.2441123924,21188.832548318987,19479.450381679388,17098.531914893618,21194.15884359266,18863.44226084132,14984.227273158296
3793,50726.69954476479,51001.14188163885,55826.33952959029,51012.71206373293,45921.64757207891,55819.630880121396,49582.24582701062,39630.57407982153
8859,131242.3554964539,132027.92730496454,145272.82269503546,132062.8989361702,121968.27039007092,145466.64627659574,128659.09131205674,103394.47726716565
20691,337108.11387163564,338210.2877846791,375166.5652173913,338446.6149068323,321282.26501035196,374236.36438923393,330499.46376811597,266798.6766486705
48329,855992.5825242718,859974.2961165048,950852.6553398059,861964.708737864,738500.1019417476,954605.1553398059,842560.8349514563,682313.4084293498
112884,2.162564125e6,2.1678520568181816e6,2.4199700568181816e6,2.1738932386363638e6,1.8992987727272727e6,2.435077102272727e6,2.1269353863636362e6,1.731851939479708e6
263665,5.4466573513513515e6,5.469736e6,6.112869459459459e6,5.454894864864865e6,4.863495513513514e6,6.125232567567567e6,5.343347675675675e6,4.367792834793976e6
615848,1.3607397375e7,1.36462310625e7,1.5287786e7,1.36533143125e7,1.24144854375e7,1.52994178125e7,1.335050575e7,1.0955651101379946e7
1438450,3.37463595e7,3.37733435e7,3.8528305666666664e7,3.4258403e7,2.89648445e7,3.8004417833333336e7,3.3311931833333332e7,2.7349820389527712e7
3359818,8.3076178e7,8.388620966666667e7,9.6431072e7,8.390601566666667e7,7.2441273e7,9.362162066666667e7,8.279291433333333e7,6.799351120584719e7
7847600,2.0903652e8,2.07535748e8,2.3186764866666666e8,2.0774323033333334e8,1.8161651366666666e8,2.31989747e8,2.0712511966666666e8,1.6841833761222044e8
18329807,5.10647132e8,5.120494996666667e8,5.85165402e8,5.114714156666667e8,4.548537236666667e8,5.941098733333334e8,5.048414076666667e8,4.15811560884935e8
42813324,1.2503912643333333e9,1.256053628e9,1.3985106563333333e9,1.250426465e9,1.13818904e9,1.4211297463333333e9,1.2395774596666667e9,1.0236178467228992e9
100000000,3.0797079693333335e9,3.0912299393333335e9,3.4715214076666665e9,3.103123588e9,2.6312821006666665e9,3.500249914e9,3.0357634953333335e9,2.513272986434454e9
